id,datetime,season,year,month,hour,holiday,weekday,workingday,weather_condition,temperature,feeling_temperature,humidity,windspeed,casual,registered,total_count,day_type
1970-01-01 00:00:00.000000001,2011-01-01,Springer,0,Jan,0,No,Saturday,No,Clear,0.24,0.2879,0.81,0.0,3,13,16,Weekend
1970-01-01 00:00:00.000000002,2011-01-01,Springer,0,Jan,1,No,Saturday,No,Clear,0.22,0.2727,0.8,0.0,8,32,40,Weekend
1970-01-01 00:00:00.000000003,2011-01-01,Springer,0,Jan,2,No,Saturday,No,Clear,0.22,0.2727,0.8,0.0,5,27,32,Weekend
1970-01-01 00:00:00.000000004,2011-01-01,Springer,0,Jan,3,No,Saturday,No,Clear,0.24,0.2879,0.75,0.0,3,10,13,Weekend
1970-01-01 00:00:00.000000005,2011-01-01,Springer,0,Jan,4,No,Saturday,No,Clear,0.24,0.2879,0.75,0.0,0,1,1,Weekend
1970-01-01 00:00:00.000000006,2011-01-01,Springer,0,Jan,5,No,Saturday,No,Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,Weekend
1970-01-01 00:00:00.000000007,2011-01-01,Springer,0,Jan,6,No,Saturday,No,Clear,0.22,0.2727,0.8,0.0,2,0,2,Weekend
1970-01-01 00:00:00.000000008,2011-01-01,Springer,0,Jan,7,No,Saturday,No,Clear,0.2,0.2576,0.86,0.0,1,2,3,Weekend
1970-01-01 00:00:00.000000009,2011-01-01,Springer,0,Jan,8,No,Saturday,No,Clear,0.24,0.2879,0.75,0.0,1,7,8,Weekend
1970-01-01 00:00:00.000000010,2011-01-01,Springer,0,Jan,9,No,Saturday,No,Clear,0.32,0.3485,0.76,0.0,8,6,14,Weekend
1970-01-01 00:00:00.000000011,2011-01-01,Springer,0,Jan,10,No,Saturday,No,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Weekend
1970-01-01 00:00:00.000000012,2011-01-01,Springer,0,Jan,11,No,Saturday,No,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Weekend
1970-01-01 00:00:00.000000013,2011-01-01,Springer,0,Jan,12,No,Saturday,No,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Weekend
1970-01-01 00:00:00.000000014,2011-01-01,Springer,0,Jan,13,No,Saturday,No,Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,Weekend
1970-01-01 00:00:00.000000015,2011-01-01,Springer,0,Jan,14,No,Saturday,No,Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,Weekend
1970-01-01 00:00:00.000000016,2011-01-01,Springer,0,Jan,15,No,Saturday,No,Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,Weekend
